influencer name,platform,followers,likes,comments,shares,impressions,clicks,conversions,campaign cost,revenue,content type,campaign date
SnehaDance,Facebook,1558000.0,38038.0,981.0,2905.0,5000000.0,20161.0,0.0,90352.0,0.0,Carousell,2025-04-03
FITANKITDANCEEE ,YouTube,3624000.0,48830.0,5411.0,1125.0,6800000.0,20903.0,766.0,0.0,0.0,carousel ,2025-01-08
ANANYAVLOGSINSTA ,Instagram,3901537.0,117953.0,2961.0,7748.0,6800000.0,59097.0,1479.0,82056.5,4033767.0,carousel ,2025-01-08
RajTravelDanceee,Instagram,0.0,47936.0,0.0,14028.0,7900000.0,53337.0,2770.0,285159.0,0.0,carousel ,2025-01-08
VikramTech_official,Facebook,3800581.0,101545.0,3903.0,6659.0,5500000.0,0.0,2530.0,174884.0,3837584.0,0,2025-01-08
SiddharthTravelVlogs,YouTube,4830000.0,23320.0,3274.0,5714.0,6954000.0,51528.0,0.0,0.0,1566957.0,Story+Reel,2025-01-03
RahulGamerQueen,YouTube,3832134.0,98654.0,753.0,0.0,8113794.0,13346.0,1600.0,82056.5,750708.0,Story,2025-01-03
SaraTravelDiariesQueen,TikTok,793000.0,35164.0,1491.0,16387.0,6820000.0,18858.0,2312.0,0.0,2712665.0,Carousell,2025-01-03
KabirTechVlogs,YouTube,4497498.0,101074.0,2333.0,652.0,7951000.0,17831.0,918.0,82056.5,1941369.0,reel,2025-01-03
NEHAFOODIEVLOGS ,Instagram,4915000.0,45450.0,432.0,10942.0,0.0,0.0,2211.0,325874.0,0.0,Story+Reel,2025-01-03
RajTravelVlogs,Instagram,3930000.0,47352.0,4220.0,17580.0,0.0,13509.0,2550.0,0.0,0.0,Reel ,2025-01-03
SnehaDanceFitness,Facebook,1165070.0,35855.0,4393.0,5932.0,0.0,30993.0,2598.0,272965.0,2438375.0,shorts,2025-01-03
KaranFitnessDanceee,Linkedin,715526.0,107707.0,0.0,13515.0,6800000.0,59643.0,1431.0,79438.0,0.0,Post,2025-01-03
DeepakMotivation,TikTok,1320000.0,108157.0,3904.0,785.0,764535.0,2056.0,2820.0,0.0,1123607.0,Highlight,2025-01-03
GamerVikram,YouTube,2767000.0,54724.0,6222.0,6595.0,6400000.0,59725.0,1024.0,82056.5,0.0,Highlight,2025-01-03
KabirTech,TikTok,56056.0,62867.0,3969.0,0.0,0.0,2811.0,719.0,0.0,1750892.0,Carousell,2025-01-03
SaraTravelDiariesInsta,Facebook,0.0,0.0,6160.0,8584.0,1406268.0,12260.0,0.0,290836.0,0.0,Highlight,2025-01-03
NEHAFOODIEDANCEEE ,YouTube,2410000.0,48719.0,1547.0,4939.0,0.0,12068.0,0.0,82056.5,2683891.0,Stories,2025-01-03
NehaFoodieQueen,Instagram,600000.0,10990.0,0.0,12432.0,7643000.0,16985.0,1016.0,163308.0,0.0,Reel+Post,2025-01-03
FitAnkitVlogs,Linkedin,2891686.0,30908.0,3504.0,0.0,0.0,52729.0,0.0,82056.5,2511070.0,Long Video,2025-01-03
NehaFoodie ,YouTube,1487480.0,12657.0,2416.0,1967.0,7300000.0,3893.0,2310.0,155787.0,0.0,0,2025-06-03
ROHANFITNESS ,Linkedin,638251.0,19977.0,0.0,17228.0,4700000.0,30767.0,1039.0,0.0,3887098.0,Carousel,2025-06-03
MeeraBeauty_official,Tiktok,0.0,15142.0,0.0,4531.0,8500000.0,30562.0,0.0,321436.0,477471.0,Stream Highlight,2025-06-03
KaranFitnessQueen,Facebook,2103039.0,52335.0,2422.0,6072.0,7029830.0,39165.0,2645.0,0.0,4412464.0,Stream Highlight,2025-09-03
RiyaMakeupVlogs,YouTube,694527.0,0.0,0.0,4671.0,5900000.0,17017.0,1911.0,127048.0,3014989.0,Reel ,2025-09-03
TechBitArvindDanceee,YouTube,1137530.0,115834.0,5477.0,16489.0,2425000.0,47917.0,1918.0,118581.0,2229274.0,Long Video,2025-09-03
KABIRTECH_OFFICIAL ,Instagram,1638000.0,93274.0,248.0,10484.0,5071000.0,54792.0,654.0,307800.0,1308116.0,0,2025-03-12
SNEHADANCEFITNESS ,YouTube,0.0,119589.0,2933.0,15117.0,7440000.0,28341.0,538.0,112744.0,4278074.0,Reel+Post,2025-01-04
FitAnkitQueen,Instagram,1096000.0,39779.0,3938.0,5677.0,0.0,14233.0,0.0,0.0,0.0,Reel ,2025-01-04
GAMERVIKRAM07 ,Tiktok,0.0,65300.0,6490.0,2909.0,0.0,0.0,1212.0,0.0,0.0,Story,2025-08-03
ArjunVlogs.xo,Facebook,4029000.0,37586.0,5741.0,0.0,3427096.0,0.0,634.0,15469.0,0.0,Reel ,2025-08-03
KaranFitness_official,Tiktok,372761.0,35171.0,1562.0,1756.0,1397000.0,23973.0,0.0,308215.0,420041.0,Highlight,2025-08-03
MeeraBeautyInsta,TikTok,432000.0,32736.0,5168.0,15259.0,2000000.0,4222.0,1537.0,57348.0,4439686.0,Short,2025-02-03
RituFood07,TikTok,2207000.0,63419.0,918.0,15371.0,0.0,49985.0,673.0,223254.0,0.0,Short,2025-01-06
PriyaVibesFitness,Tiktok,0.0,82762.0,0.0,17300.0,7415954.0,4845.0,1323.0,16817.0,0.0,Stories,2025-01-06
TanyaDance_official,Facebook,0.0,0.0,842.0,10392.0,0.0,57955.0,2129.0,82056.5,2833044.0,Carousell,2025-01-06
ANANYAVLOGSFITNESS ,Instagram,0.0,0.0,5870.0,321.0,0.0,16990.0,0.0,327081.0,0.0,Reels+Post,2025-01-06
SnehaDance.xo,Instagram,0.0,123459.0,4505.0,0.0,2274841.0,30624.0,929.0,268233.0,552604.0,0,2025-01-06
POOJALIFESTYLEFITNESS ,YouTube,2840000.0,38872.0,0.0,16788.0,6698814.0,52654.0,2140.0,261117.0,2236586.0,Short,2025-01-06
VikramTech07,Instagram,1712000.0,70299.0,0.0,4334.0,3800000.0,34062.0,779.0,0.0,0.0,0,2025-01-06
VikramTechInsta,Facebook,2990000.0,3165.0,5483.0,2152.0,3000000.0,0.0,549.0,185237.0,4026614.0,carousel ,2025-01-06
NEHAFOODIEVLOGS ,Tiktok,1023598.0,83532.0,2118.0,12225.0,8135513.0,33153.0,2304.0,0.0,1007692.0,0,2025-01-06
RiyaMakeupDanceee,YouTube,0.0,44367.0,5547.0,12957.0,0.0,29191.0,1914.0,50302.0,0.0,Reel ,2025-05-03
GamerVikramVlogs,Facebook,3840000.0,108904.0,5319.0,13146.0,2389000.0,0.0,2002.0,82056.5,0.0,Short,2025-05-03
TechBitArvind.xo,YouTube,3362969.0,0.0,5670.0,8172.0,7300000.0,6919.0,2189.0,0.0,513822.0,story+reel,2025-05-03
RituFood_official,Linkedin,2613414.0,55639.0,770.0,0.0,1300000.0,21995.0,607.0,0.0,2288143.0,carousel ,2025-05-03
KabirTech,Facebook,3540000.0,2729.0,2136.0,14503.0,1303663.0,0.0,1494.0,117222.0,4192083.0,Highlight,2025-05-03
TanyaDanceInsta,Instagram,5080000.0,49157.0,1474.0,10448.0,3026654.0,52240.0,1294.0,82056.5,635074.0,Reel ,2025-05-03
TechBitArvind.xo,Facebook,0.0,57664.0,0.0,11801.0,8328000.0,59084.0,920.0,110087.0,0.0,Story+Reel,2025-07-03
TechBitArvindDanceee,Instagram,0.0,31850.0,3499.0,446.0,4229000.0,33290.0,2222.0,130307.0,0.0,Short,2025-07-03
NehaFoodie07,Facebook,3072020.0,31597.0,2070.0,10603.0,0.0,0.0,0.0,0.0,3856639.0,Stories,2025-07-03
FitAnkitVlogs,YouTube,4059999.9999999995,77915.0,5608.0,0.0,2518752.0,21858.0,0.0,0.0,4354436.0,Story+Reel ,2025-07-03
AmitCricket_official,Facebook,4748981.0,91493.0,4053.0,9857.0,4460707.0,54440.0,1915.0,82056.5,674343.0,Reels+Post ,2025-07-03
RajTravel.xo,Instagram,2304915.0,98338.0,2058.0,18330.0,0.0,0.0,184.0,0.0,3426021.0,Reel ,2025-07-03
FitAnkit,Youtube,0.0,20440.0,3676.0,16888.0,3400000.0,58775.0,372.0,82056.5,0.0,Stories,2025-07-03
MansiBeautyQueen,Facebook,3322000.0,45202.0,6004.0,9811.0,3274415.0,7703.0,0.0,177752.0,3237677.0,Long Video,2025-03-03
SnehaDanceDanceee,Tiktok,1600324.0,26309.0,0.0,9508.0,0.0,13170.0,529.0,17134.0,3586944.0,shorts,2025-03-03
ArjunVlogs ,TikTok,3412000.0,0.0,0.0,7311.0,0.0,2378.0,0.0,176702.0,2839530.0,Stories,2025-03-04
ANANYAVLOGSVLOGS ,Facebook,655039.0,0.0,4179.0,18004.0,4171452.0,31596.0,1161.0,82056.5,0.0,Stories,2025-03-04
KaranFitnessInsta,Instagram,4251241.0,82383.0,4363.0,10671.0,7000000.0,36793.0,854.0,175539.0,0.0,story+reel,2025-03-04
TanyaDance.xo,YouTube,2359000.0,67230.0,0.0,15272.0,3700000.0,28331.0,529.0,283247.0,1896926.0,Reel ,2025-04-03
SnehaDanceDanceee,Linkedin,1391000.0,46503.0,3727.0,12357.0,7880000.0,25833.0,1384.0,31277.0,2232029.0,Highlight,2025-06-03
SaraTravelDiariesVlogs,Instagram,5033000.0,91745.0,1530.0,363.0,2131721.0,52142.0,2657.0,82056.5,0.0,Reels+Post ,2025-02-03
MeeraBeauty07,YouTube,679000.0,0.0,0.0,14529.0,1989000.0,50068.0,0.0,92803.0,0.0,Short,2025-02-03
PoojaLifestyleQueen,Youtube,1042871.0,64765.0,5287.0,16968.0,700000.0,21183.0,1941.0,153170.0,2994654.0,Story+Reel,2025-03-02
RajTravel_official,YouTube,4604553.0,0.0,576.0,4892.0,6159000.0,15278.0,1282.0,82056.5,261326.0,Live Stream,2025-12-03
SARATRAVELDIARIES.XO ,Facebook,1290000.0,104602.0,0.0,13584.0,0.0,18271.0,2123.0,45302.0,1856682.0,reel,2025-12-03
ShaliniFashion ,YouTube,0.0,37720.0,4743.0,3180.0,0.0,56862.0,1349.0,61779.0,4323792.0,story+reel,2025-03-03
MeeraBeauty.xo,Instagram,2325000.0,28190.0,3960.0,2284.0,0.0,3834.0,582.0,314801.0,0.0,Post,2025-03-03
VikramTechVlogs,Facebook,0.0,22980.0,609.0,0.0,3171348.0,0.0,0.0,0.0,0.0,Stream Highlight,2025-03-03
RohanFitness.xo,Instagram,1900000.0,9957.0,0.0,14065.0,4518000.0,21362.0,2721.0,82056.5,3027665.0,Short,2025-03-03
GamerVikram07,Instagram,0.0,98586.0,4105.0,7778.0,3500000.0,58834.0,1975.0,0.0,2876112.0,Live Stream,2025-01-03
TanyaDanceVlogs,YouTube,426844.0,104252.0,5495.0,794.0,7000000.0,33570.0,2831.0,0.0,0.0,reel,2025-05-03
SnehaDance.xo,Tiktok,769000.0,24418.0,1159.0,351.0,4345855.0,38596.0,0.0,0.0,3690499.0,Reels+Post,2025-05-03
MansiBeautyVlogs,Facebook,4151371.0,73272.0,0.0,0.0,4941785.0,0.0,1199.0,282633.0,0.0,Reel+Post,2025-05-03
SaraTravelDiariesFitness,Facebook,3056163.0,55332.0,4258.0,7587.0,4743000.0,6560.0,822.0,82056.5,0.0,Video,2025-05-03
TanyaDance ,YouTube,1140000.0,6430.0,2524.0,13554.0,6283000.0,27023.0,371.0,0.0,0.0,Carousel,2025-05-03
RAJTRAVEL  ,Facebook,4540000.0,17029.0,584.0,13523.0,4500000.0,0.0,0.0,25441.0,4281531.0,Highlight,2025-09-03
FitAnkit ,Facebook,2115440.0,18339.0,373.0,0.0,3083000.0,41656.0,835.0,82056.5,0.0,Reel  ,2025-05-03
SnehaDanceInsta,Tiktok,3754800.0,40639.0,6000.0,0.0,6108000.0,40655.0,1613.0,0.0,0.0,reel,2025-03-03
PriyaVibes,Instagram,1056406.0,49320.0,3044.0,6304.0,5063092.0,4596.0,1494.0,82056.5,0.0,Carousel,2025-01-03
RAJTRAVEL_OFFICIAL ,Instagram,240000.0,0.0,2784.0,15662.0,0.0,23803.0,1990.0,82056.5,3259831.0,Post,2025-01-03
PriyaVibes07,TikTok,3436683.0,55085.0,2267.0,5939.0,5469000.0,33105.0,2279.0,149890.0,0.0,Post,2025-01-03
RahulGamer07,Linkedin,1330000.0,118467.0,5027.0,0.0,2308354.0,0.0,0.0,318968.0,0.0,Reels+Post,2025-01-03
MansiBeauty07,Instagram,660000.0,44647.0,5762.0,13101.0,3301000.0,27174.0,143.0,82056.5,0.0,0,2025-01-03
RahulGamerQueen,Instagram,0.0,0.0,906.0,8810.0,0.0,5901.0,1993.0,100366.0,417172.0,shorts,2025-01-03
GamerVikramQueen,YouTube,2473000.0,44830.0,589.0,11565.0,0.0,27099.0,1085.0,0.0,2551890.0,0,2025-01-03
NehaFoodieFitness,YouTube,1700000.0,84097.0,2621.0,13378.0,6284000.0,16754.0,1770.0,0.0,0.0,Highlight,2025-01-03
TechBitArvindInsta,Tiktok,2381371.0,96482.0,2032.0,15561.0,5000000.0,31127.0,233.0,276042.0,3460452.0,Reels+Post ,2025-09-03
AnanyaVlogs.xo,Tiktok,218308.0,93627.0,706.0,0.0,6200000.0,35859.0,1712.0,331091.0,0.0,Post,2025-09-03
GamerVikramFitness,Instagram,3447000.0,19378.0,0.0,13847.0,7200000.0,22915.0,0.0,212993.0,798833.0,Reel+Post ,2025-09-03
DeepakMotivationVlogs,Tiktok,0.0,18078.0,6360.0,16909.0,4700000.0,0.0,750.0,0.0,775108.0,Live Stream,2025-09-03
MeeraBeautyFitness,YouTube,1410000.0,105400.0,1123.0,7495.0,3200000.0,58130.0,2805.0,179618.0,0.0,story+reel,2025-09-03
SNEHADANCEFITNESS ,Linkedin,2043138.0,88016.0,4838.0,0.0,0.0,49089.0,1395.0,0.0,3929162.0,Short,2025-08-03
RiyaMakeupDanceee,YouTube,0.0,29134.0,0.0,5103.0,3900000.0,22989.0,2596.0,0.0,0.0,Reels+Post,2025-05-03
SaraTravelDiaries.xo,YouTube,1869395.0,72351.0,0.0,16716.0,7117000.0,25946.0,849.0,55280.0,3292070.0,Stream Highlight,2025-05-03
MEERABEAUTYINSTA ,Facebook,4817535.0,78803.0,3833.0,17440.0,8173000.0,53660.0,2733.0,0.0,0.0,Post,2025-12-03
ArjunVlogsQueen,Tiktok,4705000.0,46087.0,1354.0,11001.0,0.0,5664.0,1234.0,0.0,0.0,story+reel,2025-12-03
MeeraBeautyVlogs,Instagram,1690000.0,48408.0,1709.0,2451.0,6215387.0,18801.0,2526.0,0.0,896686.0,Video,2025-01-03
AmitCricket_official,Tiktok,2353313.0,11678.0,5727.0,2994.0,0.0,17701.0,0.0,206793.0,1503460.0,story+reel,2025-12-03
TechBitArvindQueen,Instagram,3973189.0,79372.0,4260.0,7808.0,2975832.0,24959.0,668.0,76654.0,2282655.0,Stream Highlight,2025-07-03
SnehaDance_official,Facebook,0.0,85513.0,1713.0,17438.0,6800000.0,34757.0,2193.0,300779.0,0.0,Reels+Post,2025-03-07
AnanyaVlogs ,Instagram,3880000.0,61051.0,4787.0,15740.0,5363000.0,8206.0,63.0,41905.0,845565.0,Short,2025-09-03
TechBitArvind.xo,Facebook,2701000.0,0.0,3216.0,10110.0,2314468.0,47815.0,1732.0,0.0,0.0,story+reel ,2025-11-03
AnanyaVlogsVlogs,YouTube,0.0,3442.0,4096.0,0.0,0.0,0.0,2071.0,82056.5,2650776.0,Reels+Post,2025-11-03
RohanFitness,Instagram,2773042.0,114768.0,4786.0,0.0,5845000.0,50790.0,2471.0,0.0,3344211.0,Live Stream,2025-07-03
NehaFoodieQueen,Tiktok,3977364.0,14305.0,274.0,11113.0,4290000.0,0.0,2006.0,56732.0,3202610.0,Reel  ,2025-07-03
RajTravelFitness,Youtube,2740000.0,77137.0,1165.0,759.0,6419000.0,47376.0,1599.0,14503.0,4016604.0,reel,2025-11-03
AmitCricket.xo,Tiktok,0.0,116155.0,1701.0,13303.0,2370000.0,61789.0,2748.0,138380.0,3905451.0,Highlight,2025-11-03
FitAnkitVlogs,Youtube,3512235.0,81695.0,6005.0,0.0,4900000.0,41136.0,2812.0,0.0,0.0,Stories,2025-04-03
MEERABEAUTY  ,TikTok,3903816.0,43659.0,304.0,18450.0,2016000.0,17857.0,1058.0,146245.0,1572140.0,Reels+Post,2025-04-03
SaraTravelDiaries.xo,Instagram,4973610.0,37320.0,2032.0,9760.0,3323000.0,55008.0,1711.0,0.0,0.0,story+reel,2025-06-03
SnehaDance,Instagram,4409551.0,104664.0,2577.0,0.0,6066602.0,0.0,292.0,26985.0,0.0,Stories,2025-11-03
AMITCRICKETQUEEN ,YouTube,1137185.0,37469.0,0.0,16349.0,2624979.0,58431.0,0.0,0.0,3427671.0,Video,2025-11-03
ShaliniFashion ,Facebook,991000.0,93043.0,1082.0,15577.0,2800000.0,36532.0,1311.0,82056.5,3465993.0,Post,2025-11-03
SnehaDance07,Instagram,4390000.0,0.0,0.0,10698.0,6729238.0,41939.0,1436.0,328644.0,3430446.0,story+reel,2025-11-03
SaraTravelDiaries.xo,Facebook,972981.0,0.0,2225.0,0.0,1112000.0,2708.0,0.0,93626.0,0.0,shorts,2025-11-03
SnehaDance,Instagram,1440000.0,49715.0,155.0,4997.0,1000000.0,33734.0,712.0,216459.0,4294131.0,Video,2025-11-03
AnanyaVlogs.xo,Facebook,1574907.0,31228.0,3242.0,11229.0,3033170.0,24999.0,0.0,82056.5,0.0,Stories,2025-11-03
SiddharthTravel_official,Instagram,4390000.0,107013.0,2677.0,12949.0,3034587.0,38689.0,0.0,0.0,0.0,shorts,2025-10-03
RituFoodDanceee,YouTube,2338423.0,71316.0,642.0,12688.0,0.0,37590.0,321.0,201266.0,0.0,story+reel,2025-03-05
KaranFitness ,Linkedin,0.0,99619.0,4269.0,9769.0,6739852.0,14185.0,2230.0,82056.5,258741.0,Live Stream,2025-03-05
NehaFoodieDanceee,Instagram,4571849.0,0.0,1171.0,11276.0,6701036.0,27642.0,0.0,82056.5,3085912.0,Reel+Post,2025-02-03
AnanyaVlogsQueen,Facebook,5160000.0,124107.0,0.0,13796.0,0.0,2929.0,2511.0,312780.0,0.0,shorts,2025-02-03
ShaliniFashion_official,Facebook,57000.0,20349.0,5226.0,17324.0,1142000.0,31762.0,1502.0,9598.0,2453471.0,Reel+Post,2025-01-12
MeeraBeautyDanceee,Youtube,1893000.0,64262.0,0.0,0.0,6316097.0,41027.0,1312.0,0.0,0.0,Carousell,2025-01-12
KaranFitness.xo,Instagram,2843603.0,82514.0,355.0,2198.0,2200000.0,0.0,0.0,0.0,0.0,Carousell,2025-01-12
AMITCRICKETDANCEEE ,TikTok,2821046.0,57218.0,0.0,6133.0,6949572.0,25476.0,2338.0,82056.5,4208509.0,Carousel,2025-01-12
FitAnkitVlogs,Linkedin,0.0,107382.0,0.0,0.0,2721690.0,60455.0,1053.0,82056.5,3521999.0,Long Video,2025-01-12
ShaliniFashion ,Linkedin,0.0,124479.0,6095.0,4303.0,3100000.0,61479.0,0.0,179338.0,0.0,Story,2025-06-03
ArjunVlogsInsta,YouTube,1995999.0,108366.0,3469.0,16055.0,1989769.0,5808.0,0.0,82056.5,0.0,reel,2025-06-03
KabirTechDanceee,Instagram,4612000.0,0.0,0.0,10783.0,5708000.0,14538.0,313.0,82056.5,0.0,Reels+Post,2025-06-03
SaraTravelDiaries,Facebook,0.0,52004.0,0.0,2928.0,7354000.0,18884.0,723.0,0.0,1496513.0,Highlight,2025-06-03
TanyaDance ,TikTok,0.0,109101.0,5001.0,0.0,1600000.0,24472.0,0.0,82056.5,0.0,Highlight,2025-08-03
SHALINIFASHIONQUEEN ,Instagram,1145813.0,1855.0,0.0,14958.0,5300000.0,7494.0,0.0,256181.0,0.0,Post,2025-08-03
MansiBeautyQueen,YouTube,1910000.0,99480.0,0.0,7590.0,0.0,19009.0,2806.0,324071.0,340183.0,Long Video,2025-08-03
PriyaVibesVlogs,Tiktok,3308045.0,14940.0,2293.0,9206.0,8022000.0,13234.0,2075.0,219484.0,4471344.0,Reel  ,2025-08-03
RajTravel.xo,YouTube,3598000.0,83943.0,2670.0,12610.0,2400000.0,61485.0,286.0,0.0,4250147.0,long video,2025-08-03
MeeraBeauty ,Tiktok,0.0,52711.0,4544.0,2753.0,7339000.0,13476.0,0.0,113522.0,0.0,Long Video,2025-01-11
VikramTech_official,YouTube,2952000.0,0.0,1936.0,17038.0,1500000.0,41758.0,2567.0,82056.5,2559991.0,Video,2025-07-03
RituFood.xo,Instagram,0.0,122580.0,0.0,14046.0,1752000.0,48845.0,566.0,82056.5,1659764.0,Highlight,2025-07-03
VikramTechQueen,Instagram,4698000.0,102664.0,0.0,3353.0,0.0,1045.0,1741.0,82056.5,909283.0,Reel ,2025-07-03
NehaFoodie ,Instagram,0.0,94877.0,4310.0,3953.0,0.0,49483.0,510.0,0.0,3016442.0,Stream Highlight,2025-07-03
KabirTechDanceee,Youtube,980000.0,118238.0,0.0,3588.0,0.0,43656.0,1244.0,255979.0,0.0,NaN ,2025-07-03
PoojaLifestyle.xo,Instagram,1910000.0,57102.0,2316.0,11391.0,5725000.0,17791.0,2659.0,0.0,1556269.0,Reel ,2025-07-03
DeepakMotivation_official,Linkedin,1272000.0,63253.0,5164.0,0.0,0.0,0.0,996.0,0.0,4199632.0,0,2025-07-03
PRIYAVIBESVLOGS ,Facebook,2140000.0,86265.0,0.0,3312.0,3000000.0,20551.0,2005.0,82056.5,3870352.0,carousel ,2025-07-03
FITANKITFITNESS ,Tiktok,620000.0,40229.0,2428.0,3451.0,7467771.0,0.0,2743.0,281481.0,1697690.0,Stories,2025-08-03
GamerVikram07,Facebook,2850000.0,0.0,6162.0,13417.0,5255692.0,16730.0,285.0,0.0,0.0,reel,2025-08-03
KabirTechDanceee,Linkedin,1848000.0,102559.0,240.0,0.0,988757.0,50236.0,2363.0,331336.0,3621781.0,Post,2025-08-03
RituFood ,Facebook,0.0,39182.0,0.0,16920.0,4437000.0,0.0,0.0,208737.0,3176047.0,Highlight,2025-08-03
RahulGamer,YouTube,600000.0,2554.0,5711.0,9639.0,8373000.0,0.0,1895.0,82056.5,0.0,Reels+Post,2025-08-03
KaranFitness.xo,Youtube,0.0,67230.0,358.0,18380.0,8300000.000000001,7160.0,0.0,34309.0,0.0,Stories,2025-08-03
ArjunVlogs.xo,Facebook,1771000.0,0.0,4872.0,551.0,3300000.0,0.0,709.0,176948.0,0.0,Carousel ,2025-06-03
MeeraBeauty.xo,Facebook,4179999.9999999995,93888.0,0.0,18409.0,4368053.0,26772.0,2629.0,66462.0,1513240.0,Reel ,2025-06-03
ArjunVlogs_official,Facebook,2916017.0,48982.0,0.0,0.0,6447292.0,52491.0,2563.0,155098.0,3809209.0,reel,2025-01-03
SiddharthTravel ,Instagram,3020442.0,7926.0,0.0,8384.0,5904000.0,51914.0,433.0,36409.0,0.0,Reels+Post,2025-01-03
TanyaDanceDanceee,Instagram,224516.0,33350.0,2328.0,8752.0,2900000.0,39888.0,1745.0,206694.0,1179690.0,Reel ,2025-01-03
TechBitArvind,TikTok,0.0,125000.0,4856.0,14137.0,5100000.0,11065.0,0.0,141585.0,4446900.0,Video,2025-01-03
AmitCricketFitness,YouTube,0.0,96789.0,6079.0,9169.0,3651770.0,57555.0,1078.0,0.0,4417031.0,reel,2025-11-03
SaraTravelDiaries07,Linkedin,2880690.0,21240.0,0.0,894.0,0.0,33498.0,0.0,79236.0,0.0,Carousell,2025-11-03
ArjunVlogsQueen,Facebook,4330077.0,30369.0,0.0,9485.0,0.0,15330.0,2585.0,285872.0,3676859.0,reel,2025-11-03
DeepakMotivationInsta,Instagram,0.0,85121.0,3179.0,5458.0,7639000.0,38024.0,2482.0,82056.5,0.0,Story,2025-11-03
TechBitArvindFitness,Instagram,1160000.0,0.0,0.0,3060.0,800000.0,2743.0,940.0,197439.0,0.0,long video,2025-03-03
AnanyaVlogsVlogs,Linkedin,60000.0,124464.0,2813.0,17827.0,2003000.0,43326.0,1089.0,0.0,2617462.0,Story+Reel,2025-03-03
RohanFitness,Linkedin,0.0,0.0,6281.0,0.0,0.0,15510.0,1077.0,25561.0,379042.0,Reel ,2025-03-03
RohanFitnessVlogs,Instagram,802821.0,1883.0,0.0,0.0,8221399.0,30120.0,1287.0,0.0,0.0,Reel ,2025-02-03
RituFoodVlogs,Linkedin,1773095.0,92779.0,0.0,11852.0,7182611.0,30702.0,0.0,82625.0,2286227.0,Carousell,2025-02-03
MEERABEAUTY_OFFICIAL ,Instagram,3016927.0,28382.0,2800.0,11587.0,5100000.0,12600.0,1914.0,307324.0,3922201.0,Reels+Post,2025-07-03
RahulGamer07,Facebook,448000.0,26297.0,5453.0,10186.0,3284000.0,57518.0,562.0,177495.0,887327.0,shorts,2025-07-03
RahulGamer.xo,Tiktok,2260000.0,4621.0,3467.0,12510.0,600000.0,17249.0,448.0,0.0,3530715.0,Reel ,2025-08-03
PoojaLifestyleFitness,Youtube,3304854.0,43827.0,5511.0,11337.0,4302000.0,31283.0,2556.0,225443.0,0.0,Short,2025-08-03
DeepakMotivationFitness,Tiktok,2700000.0,14951.0,1752.0,6194.0,2220000.0,25130.0,0.0,82056.5,910865.0,Story+Reel,2025-03-08
GamerVikramInsta,Linkedin,4123463.0,98369.0,0.0,1067.0,6449080.0,48963.0,600.0,143782.0,0.0,Live Stream,2025-03-08
RahulGamer_official,Instagram,130000.0,85038.0,4868.0,0.0,4800000.0,61607.0,361.0,34996.0,0.0,Story+Reel,2025-03-08
DeepakMotivation,Instagram,2830000.0,0.0,5512.0,8722.0,8076178.0,2821.0,138.0,8025.0,189812.0,shorts,2025-10-03
