influencer_name,platform,followers,engagement_rate,likes,comments,campaign_cost,roi,predicted_roi
SARATRAVELDIARIES.XO ,Facebook,1290000.0,10460201.053023254,104602.0,0.0,45302.0,185668100.0,185668100.0
ShaliniFashion ,YouTube,0.0,inf,37720.0,4743.0,61779.0,432379100.0,432379100.0
MeeraBeauty.xo,Instagram,2325000.0,3215000.0982365594,28190.0,3960.0,314801.0,-100.0,-100.0
RohanFitness.xo,Instagram,1900000.0,995700.740263158,9957.0,0.0,82056.5,302766400.0,302766400.0
MansiBeautyVlogs,Facebook,4151371.0,7327200.0,73272.0,0.0,282633.0,-100.0,-100.0
SaraTravelDiariesFitness,Facebook,3056163.0,5959000.248252465,55332.0,4258.0,82056.5,-100.0,-100.0
FitAnkit ,Facebook,2115440.0,1871200.0,18339.0,373.0,82056.5,-100.0,-100.0
PriyaVibes,Instagram,1056406.0,5236400.596740268,49320.0,3044.0,82056.5,-100.0,-100.0
RAJTRAVEL_OFFICIAL ,Instagram,240000.0,278406.5258333334,0.0,2784.0,82056.5,325983000.0,325983000.0
PriyaVibes07,TikTok,3436683.0,5735200.172811981,55085.0,2267.0,149890.0,-100.0,-100.0
MansiBeauty07,Instagram,660000.0,5040901.984999999,44647.0,5762.0,82056.5,-100.0,-100.0
RahulGamerQueen,Instagram,0.0,inf,0.0,906.0,100366.0,41717100.0,41717100.0
TechBitArvindInsta,Tiktok,2381371.0,9851400.65344711,96482.0,2032.0,276042.0,346045100.0,346045100.0
AnanyaVlogs.xo,Tiktok,218308.0,9433300.0,93627.0,706.0,331091.0,-100.0,-100.0
GamerVikramFitness,Instagram,3447000.0,1937800.4017116327,19378.0,0.0,212993.0,79883200.0,79883200.0
MeeraBeautyFitness,YouTube,1410000.0,10652300.531560283,105400.0,1123.0,179618.0,-100.0,-100.0
SaraTravelDiaries.xo,YouTube,1869395.0,7235100.894193041,72351.0,0.0,55280.0,329206900.0,329206900.0
AmitCricket_official,Tiktok,2353313.0,1740500.1272248952,11678.0,5727.0,206793.0,150345900.0,150345900.0
TechBitArvindQueen,Instagram,3973189.0,8363200.196517205,79372.0,4260.0,76654.0,228265400.0,228265400.0
SnehaDance_official,Facebook,0.0,inf,85513.0,1713.0,300779.0,-100.0,-100.0
AnanyaVlogs ,Instagram,3880000.0,6583800.405670103,61051.0,4787.0,41905.0,84556400.0,84556400.0
NehaFoodieQueen,Tiktok,3977364.0,1457900.2794061594,14305.0,274.0,56732.0,320260900.0,320260900.0
RajTravelFitness,Youtube,2740000.0,7830200.027700731,77137.0,1165.0,14503.0,401660300.0,401660300.0
AmitCricket.xo,Tiktok,0.0,inf,116155.0,1701.0,138380.0,390545000.0,390545000.0
MEERABEAUTY  ,TikTok,3903816.0,4396300.472614488,43659.0,304.0,146245.0,157213900.0,157213900.0
SnehaDance,Instagram,4409551.0,10724100.0,104664.0,2577.0,26985.0,-100.0,-100.0
ShaliniFashion ,Facebook,991000.0,9412501.57184662,93043.0,1082.0,82056.5,346599200.0,346599200.0
SnehaDance07,Instagram,4390000.0,0.2436902050113895,0.0,0.0,328644.0,343044500.0,343044500.0
SaraTravelDiaries.xo,Facebook,972981.0,222500.0,0.0,2225.0,93626.0,-100.0,-100.0
SnehaDance,Instagram,1440000.0,4987000.347013889,49715.0,155.0,216459.0,429413000.0,429413000.0
AnanyaVlogs.xo,Facebook,1574907.0,3447000.712994482,31228.0,3242.0,82056.5,-100.0,-100.0
RituFoodDanceee,YouTube,2338423.0,7195800.542587888,71316.0,642.0,201266.0,-100.0,-100.0
KaranFitness ,Linkedin,0.0,inf,99619.0,4269.0,82056.5,25874000.0,25874000.0
NehaFoodieDanceee,Instagram,4571849.0,117100.24663981685,0.0,1171.0,82056.5,308591100.0,308591100.0
AnanyaVlogsQueen,Facebook,5160000.0,12410700.267364342,124107.0,0.0,312780.0,-100.0,-100.0
ShaliniFashion_official,Facebook,57000.0,2557530.392982456,20349.0,5226.0,9598.0,245347000.0,245347000.0
AMITCRICKETDANCEEE ,TikTok,2821046.0,5721800.21740163,57218.0,0.0,82056.5,420850800.0,420850800.0
ShaliniFashion ,Linkedin,0.0,inf,124479.0,6095.0,179338.0,-100.0,-100.0
ArjunVlogsInsta,YouTube,1995999.0,11183500.80435912,108366.0,3469.0,82056.5,-100.0,-100.0
KabirTechDanceee,Instagram,4612000.0,0.2338031222896791,0.0,0.0,82056.5,-100.0,-100.0
SHALINIFASHIONQUEEN ,Instagram,1145813.0,185501.30544862032,1855.0,0.0,256181.0,-100.0,-100.0
MansiBeautyQueen,YouTube,1910000.0,9948000.3973822,99480.0,0.0,324071.0,34018200.0,34018200.0
PriyaVibesVlogs,Tiktok,3308045.0,1723300.2782912564,14940.0,2293.0,219484.0,447134300.0,447134300.0
MeeraBeauty ,Tiktok,0.0,inf,52711.0,4544.0,113522.0,-100.0,-100.0
VikramTech_official,YouTube,2952000.0,193600.5771680217,0.0,1936.0,82056.5,255999000.0,255999000.0
RituFood.xo,Instagram,0.0,inf,122580.0,0.0,82056.5,165976300.0,165976300.0
VikramTechQueen,Instagram,4698000.0,10266400.071370795,102664.0,0.0,82056.5,90928200.0,90928200.0
KabirTechDanceee,Youtube,980000.0,11823800.366122449,118238.0,0.0,255979.0,-100.0,-100.0
PRIYAVIBESVLOGS ,Facebook,2140000.0,8626500.154766355,86265.0,0.0,82056.5,387035100.0,387035100.0
FITANKITFITNESS ,Tiktok,620000.0,4265700.556612903,40229.0,2428.0,281481.0,169768900.0,169768900.0
KabirTechDanceee,Linkedin,1848000.0,10279900.0,102559.0,240.0,331336.0,362178000.0,362178000.0
RahulGamer,YouTube,600000.0,826501.6065,2554.0,5711.0,82056.5,-100.0,-100.0
KaranFitness.xo,Youtube,0.0,inf,67230.0,358.0,34309.0,-100.0,-100.0
ArjunVlogs.xo,Facebook,1771000.0,487200.031112366,0.0,4872.0,176948.0,-100.0,-100.0
MeeraBeauty.xo,Facebook,4180000.0,9388800.4404067,93888.0,0.0,66462.0,151323900.0,151323900.0
ArjunVlogs_official,Facebook,2916017.0,4898200.0,48982.0,0.0,155098.0,380920800.0,380920800.0
SiddharthTravel ,Instagram,3020442.0,792600.2775752688,7926.0,0.0,36409.0,-100.0,-100.0
TanyaDanceDanceee,Instagram,224516.0,3567803.8981631603,33350.0,2328.0,206694.0,117968900.0,117968900.0
TechBitArvind,TikTok,0.0,inf,125000.0,4856.0,141585.0,444689900.0,444689900.0
SaraTravelDiaries07,Linkedin,2880690.0,2124000.031034232,21240.0,0.0,79236.0,-100.0,-100.0
ArjunVlogsQueen,Facebook,4330077.0,3036900.2190492223,30369.0,0.0,285872.0,367685800.0,367685800.0
DeepakMotivationInsta,Instagram,0.0,inf,85121.0,3179.0,82056.5,-100.0,-100.0
TechBitArvindFitness,Instagram,1160000.0,0.2637931034482759,0.0,0.0,197439.0,-100.0,-100.0
RituFoodVlogs,Linkedin,1773095.0,9277900.6684357,92779.0,0.0,82625.0,228622600.0,228622600.0
MEERABEAUTY_OFFICIAL ,Instagram,3016927.0,3118200.384066304,28382.0,2800.0,307324.0,392220000.0,392220000.0
RahulGamer07,Facebook,448000.0,3175002.2736607143,26297.0,5453.0,177495.0,88732600.0,88732600.0
PoojaLifestyleFitness,Youtube,3304854.0,4933800.343040872,43827.0,5511.0,225443.0,-100.0,-100.0
DeepakMotivationFitness,Tiktok,2700000.0,1670300.229407407,14951.0,1752.0,82056.5,91086400.0,91086400.0
GamerVikramInsta,Linkedin,4123463.0,9836900.02587631,98369.0,0.0,143782.0,-100.0,-100.0
RahulGamer_official,Instagram,130000.0,8990600.0,85038.0,4868.0,34996.0,-100.0,-100.0
DeepakMotivation,Instagram,2830000.0,551200.3081978799,0.0,5512.0,8025.0,18981100.0,18981100.0
ShaliniFashionFitness,YouTube,40000.0,3386318.3400000003,33311.0,552.0,195681.0,119742400.0,119742400.0
GamerVikramInsta,Youtube,0.0,inf,32742.0,0.0,138949.0,-100.0,-100.0
DeepakMotivation07,Facebook,1309116.0,2995200.0,29952.0,0.0,327501.0,155072000.0,155072000.0
POOJALIFESTYLE.XO ,Tiktok,4025023.0,2094500.0173912048,20022.0,923.0,82056.5,-100.0,-100.0
RiyaMakeup,Youtube,2550000.0,10031200.0,94763.0,5549.0,41677.0,166704600.0,166704600.0
VikramTechInsta,Instagram,4685409.0,7456600.335296236,72046.0,2520.0,105478.0,227566900.0,227566900.0
MEERABEAUTY.XO ,Facebook,4908000.0,613200.0,0.0,6132.0,82056.5,-100.0,-100.0
RohanFitnessQueen,Instagram,0.0,inf,95174.0,4932.0,292873.0,271805700.0,271805700.0
AnanyaVlogsDanceee,Facebook,1530524.0,10961500.070498733,109129.0,486.0,91146.0,-100.0,-100.0
DeepakMotivationQueen,Facebook,2680000.0,3044200.5002985075,24321.0,6121.0,82056.5,33199000.0,33199000.0
RajTravel_official,Instagram,56000.0,4346705.558928572,40940.0,2527.0,82056.5,149909600.0,149909600.0
MansiBeautyQueen,YouTube,4250000.0,9534500.229811763,93000.0,2345.0,82056.5,-100.0,-100.0
SaraTravelDiaries.xo,Instagram,2052436.0,3893200.652541663,37184.0,1748.0,114474.0,-100.0,-100.0
RahulGamer07,Tiktok,3280000.0,416500.3868292684,0.0,4165.0,82056.5,335008200.0,335008200.0
MeeraBeauty.xo,Tiktok,4200000.0,6512700.125238095,60420.0,4707.0,169748.0,-100.0,-100.0
TechBitArvindDanceee,Youtube,0.0,inf,18662.0,5521.0,310097.0,10540100.0,10540100.0
PriyaVibesDanceee,Facebook,52715.0,5284100.0,51071.0,1770.0,94833.0,66690400.0,66690400.0
RajTravelQueen,Youtube,3990000.0,3467100.18491228,29539.0,5132.0,334931.0,223546300.0,223546300.0
VikramTech,YouTube,3347807.0,12503600.040862571,121215.0,3821.0,82056.5,34359600.0,34359600.0
KaranFitness_official,Facebook,3080000.0,2300300.504253247,21052.0,1951.0,185574.0,-100.0,-100.0
KABIRTECH.XO ,YouTube,0.0,inf,0.0,2029.0,234830.0,-100.0,-100.0
PriyaVibesFitness,Instagram,406247.0,3901403.0048221895,33138.0,5876.0,155310.0,-100.0,-100.0
MansiBeautyFitness,Instagram,3250466.0,8444600.30192594,80692.0,3754.0,82056.5,34641100.0,34641100.0
PriyaVibesInsta,Facebook,0.0,inf,82427.0,5819.0,91051.0,-100.0,-100.0
KabirTechQueen,YouTube,0.0,inf,44444.0,2882.0,30185.0,407508900.0,407508900.0
ARJUNVLOGS07 ,Instagram,39687.0,11003524.151485372,106754.0,3281.0,181532.0,-100.0,-100.0
ShaliniFashion07,YouTube,868000.0,8432900.0,83775.0,554.0,159037.0,416267900.0,416267900.0
RAJTRAVEL  ,Linkedin,4447436.0,9616200.0,96162.0,0.0,93354.0,75959300.0,75959300.0
PriyaVibes,Facebook,4990000.0,642600.1536272545,0.0,6426.0,245391.0,169662000.0,169662000.0
FitAnkit_official,Tiktok,2703510.0,7793300.376621502,74199.0,3734.0,74213.0,300600200.0,300600200.0
AmitCricketFitness,YouTube,0.0,inf,0.0,0.0,204704.0,271682800.0,271682800.0
TanyaDanceVlogs,YouTube,2080983.0,8012100.168333907,79681.0,440.0,28553.0,327232100.0,327232100.0
RituFood.xo,YouTube,4365694.0,11222400.26055422,110156.0,2068.0,197290.0,48724600.0,48724600.0
PriyaVibes_official,Tiktok,0.0,inf,124525.0,227.0,277416.0,-100.0,-100.0
TechBitArvindQueen,YouTube,3777316.0,7412200.422072181,73909.0,213.0,183379.0,-100.0,-100.0
SnehaDance07,Tiktok,5050144.0,7400600.093541887,72680.0,1326.0,100950.0,-100.0,-100.0
DEEPAKMOTIVATIONFITNESS ,Facebook,828731.0,6843700.919116095,67559.0,878.0,293918.0,381611900.0,381611900.0
TechBitArvindFitness,Tiktok,2331407.0,8340200.0,83402.0,0.0,234187.0,445696500.0,445696500.0
RiyaMakeupFitness,YouTube,1400826.0,4645200.223653759,42301.0,4151.0,126534.0,-100.0,-100.0
RiyaMakeup_official,YouTube,2160000.0,9177300.80375,91773.0,0.0,57657.0,265414900.0,265414900.0
SaraTravelDiaries_official,YouTube,3925629.0,6571100.041369167,62140.0,3571.0,82056.5,225994100.0,225994100.0
DeepakMotivation,Facebook,1630000.0,11460000.944723926,114600.0,0.0,36914.0,131223500.0,131223500.0
AnanyaVlogs_official,Facebook,903848.0,7028900.977929917,68435.0,1854.0,63498.0,231371500.0,231371500.0
ArjunVlogs_official,YouTube,232720.0,552606.0918700584,0.0,5526.0,64821.0,-100.0,-100.0
AnanyaVlogs ,Facebook,4028913.0,8398600.329418877,81559.0,2427.0,82056.5,-100.0,-100.0
PriyaVibes_official,Tiktok,2663000.0,10842000.498310177,108420.0,0.0,258973.0,126294600.0,126294600.0
RohanFitness.xo,Facebook,1000000.0,3578900.8806,34848.0,941.0,330331.0,-100.0,-100.0
RIYAMAKEUPINSTA ,Instagram,287808.0,8248504.751084057,77624.0,4861.0,183296.0,146728300.0,146728300.0
FitAnkit_official,Facebook,0.0,inf,67743.0,509.0,82056.5,103399000.0,103399000.0
NehaFoodieFitness,Facebook,4202703.0,10374700.208246931,103446.0,301.0,82056.5,286519900.0,286519900.0
PriyaVibes ,Instagram,3796093.0,10153700.2009171,96233.0,5304.0,201984.0,337657200.0,337657200.0
KabirTech.xo,Linkedin,3100000.0,3371500.122612904,29278.0,4437.0,82056.5,277808700.0,277808700.0
SnehaDanceInsta,Instagram,937624.0,11870201.49356245,117634.0,1068.0,268604.0,338497800.0,338497800.0
RajTravelDanceee,YouTube,920000.0,3033501.8398913043,27042.0,3293.0,222293.0,21785300.0,21785300.0
NehaFoodie ,Youtube,0.0,inf,41454.0,1311.0,290196.0,-100.0,-100.0
PoojaLifestyleQueen,YouTube,1053253.0,2865701.420551378,22947.0,5710.0,138189.0,361503800.0,361503800.0
PoojaLifestyleInsta,Instagram,2165190.0,1005400.0,10054.0,0.0,82056.5,87335600.0,87335600.0
TechBitArvindDanceee,Youtube,2215672.0,4955300.0,45539.0,4014.0,82056.5,-100.0,-100.0
RahulGamerQueen,Facebook,2194420.0,9876300.0,96194.0,2569.0,82056.5,291849400.0,291849400.0
KaranFitnessVlogs,Instagram,4860000.0,1615300.3696502058,10053.0,6100.0,238212.0,-100.0,-100.0
RahulGamer07,YouTube,889551.0,5258200.392332762,52582.0,0.0,82056.5,-100.0,-100.0
TanyaDanceDanceee,Instagram,1130000.0,11008101.475309735,110081.0,0.0,82056.5,-100.0,-100.0
PoojaLifestyle_official,TikTok,2820000.0,1901700.0,17928.0,1089.0,108788.0,265246800.0,265246800.0
MansiBeauty.xo,YouTube,3788000.0,6797200.0,67972.0,0.0,32885.0,361933000.0,361933000.0
RiyaMakeupVlogs,Tiktok,4721000.0,2711000.0,24911.0,2199.0,111842.0,-100.0,-100.0
TanyaDance,Youtube,3347270.0,10486500.33803667,104029.0,836.0,82056.5,211587100.0,211587100.0
PriyaVibes_official,Instagram,3314554.0,5244500.517505522,52445.0,0.0,189025.0,194405900.0,194405900.0
VikramTech.xo,Instagram,4193000.0,2554800.272549487,20461.0,5087.0,82056.5,316242200.0,316242200.0
FitAnkitInsta,Tiktok,1710000.0,11045100.0,108000.0,2451.0,11646.0,157283800.0,157283800.0
KabirTechQueen,TikTok,1742000.0,1801700.130769231,14798.0,3219.0,302852.0,227852800.0,227852800.0
GamerVikram_official,Instagram,2272351.0,9054700.0,84237.0,6310.0,82056.5,206213000.0,206213000.0
SaraTravelDiaries,Linkedin,4898000.0,8581800.0,80406.0,5412.0,35598.0,-100.0,-100.0
KaranFitness07,Tiktok,320000.0,7672700.0,71951.0,4776.0,341054.0,329067500.0,329067500.0
KabirTechDanceee,Tiktok,1923000.0,6677600.0,63702.0,3074.0,159638.0,252919600.0,252919600.0
KaranFitness.xo,Tiktok,3440000.0,0.0798837209302325,0.0,0.0,249883.0,39363900.0,39363900.0
AmitCricket,YouTube,3371946.0,11059200.27378849,108520.0,2072.0,82056.5,87151700.0,87151700.0
PoojaLifestyleInsta,YouTube,0.0,inf,23479.0,6424.0,82056.5,317370400.0,317370400.0
RiyaMakeupQueen,Facebook,0.0,inf,22356.0,5947.0,118459.0,80868300.0,80868300.0
RiyaMakeup_official,Tiktok,0.0,inf,99175.0,5373.0,82056.5,-100.0,-100.0
SnehaDanceVlogs,Instagram,3812742.0,11335400.313160451,111034.0,2320.0,181400.0,164017600.0,164017600.0
SiddharthTravelQueen,Instagram,1675212.0,8160100.408187143,81601.0,0.0,91972.0,98255800.0,98255800.0
KabirTech07,YouTube,2759584.0,3673600.050188724,36736.0,0.0,297323.0,339982900.0,339982900.0
RajTravel.xo,Instagram,1476000.0,3006600.0,24643.0,5423.0,82056.5,348519400.0,348519400.0
ArjunVlogs07,YouTube,3544000.0,9771300.0,93198.0,4515.0,82056.5,-100.0,-100.0
ArjunVlogs_official,YouTube,4707013.0,10579100.33358735,103768.0,2023.0,150358.0,271928800.0,271928800.0
TechBitArvindVlogs,Instagram,2730000.0,8718600.025457876,85797.0,1389.0,212290.0,-100.0,-100.0
MansiBeautyQueen,Facebook,0.0,inf,98070.0,1703.0,82056.5,318920100.0,318920100.0
ROHANFITNESS ,Facebook,3151649.0,862100.0,8621.0,0.0,82056.5,136871700.0,136871700.0
NehaFoodie07,Instagram,0.0,inf,47517.0,4430.0,115063.0,328026100.0,328026100.0
AmitCricket07,Instagram,2093000.0,5061300.288580985,44432.0,6181.0,316827.0,-100.0,-100.0
TechBitArvindDanceee,YouTube,0.0,inf,0.0,0.0,21217.0,-100.0,-100.0
SiddharthTravel_official,Facebook,1140000.0,6781701.151754386,67817.0,0.0,146370.0,-100.0,-100.0
TanyaDanceVlogs,Facebook,1580000.0,4364301.168101266,43643.0,0.0,82056.5,385808700.0,385808700.0
PoojaLifestyleDanceee,Instagram,5177113.0,12219400.166560013,118687.0,3507.0,82056.5,130957600.0,130957600.0
SHALINIFASHION ,Facebook,3950918.0,10028900.422509402,95033.0,5256.0,250846.0,-100.0,-100.0
AmitCricketVlogs,Facebook,2225000.0,9350400.209213484,90036.0,3468.0,134372.0,252161900.0,252161900.0
KARANFITNESSFITNESS ,TikTok,1153172.0,7428400.904895367,74284.0,0.0,157455.0,89907600.0,89907600.0
RituFood ,TikTok,0.0,inf,1214.0,4105.0,124135.0,46528600.0,46528600.0
RiyaMakeupInsta,Linkedin,2560000.0,7577400.56359375,70449.0,5325.0,231235.0,-100.0,-100.0
PRIYAVIBES.XO ,TikTok,4384000.0,6093400.11037865,55922.0,5012.0,140907.0,-100.0,-100.0
ArjunVlogs07,Tiktok,0.0,inf,46112.0,4426.0,20236.0,108804000.0,108804000.0
RituFood_official,Tiktok,5085914.0,10462600.065907525,104626.0,0.0,59375.0,-100.0,-100.0
RajTravelInsta,Linkedin,799000.0,10487501.995619524,100147.0,4728.0,91632.0,418927700.0,418927700.0
TechBitArvindDanceee,Instagram,3873000.0,12158800.0,121588.0,0.0,242389.0,-100.0,-100.0
MeeraBeautyQueen,Instagram,536000.0,11251900.0,107045.0,5474.0,82056.5,35773900.0,35773900.0
PriyaVibes,Facebook,3500000.0,2817500.513314286,21684.0,6491.0,82056.5,-100.0,-100.0
VikramTechFitness,Instagram,708000.0,3815900.0,37102.0,1057.0,329462.0,293888000.0,293888000.0
SiddharthTravelDanceee,Facebook,1534805.0,9184000.055577092,87826.0,4014.0,170558.0,-100.0,-100.0
TanyaDance.xo,Facebook,4780000.0,98200.2300209205,0.0,982.0,303436.0,182702200.0,182702200.0
AnanyaVlogsVlogs,Facebook,4326989.0,7551800.079223682,69874.0,5644.0,82056.5,40579400.0,40579400.0
AmitCricketFitness,Tiktok,3610000.0,12358000.296814404,123361.0,219.0,82056.5,-100.0,-100.0
SiddharthTravelVlogs,Linkedin,1110000.0,10079801.355045045,98326.0,2472.0,82056.5,297928500.0,297928500.0
RituFood,TikTok,131871.0,10327700.788649514,100832.0,2445.0,107284.0,-100.0,-100.0
AmitCricket.xo,Instagram,3488166.0,4995900.370452553,46511.0,3448.0,99160.0,197552800.0,197552800.0
MeeraBeautyVlogs,Tiktok,1670000.0,12039200.847245509,114327.0,6065.0,186103.0,341694000.0,341694000.0
KaranFitness07,YouTube,689714.0,2507400.612572748,23276.0,1798.0,216252.0,426680100.0,426680100.0
DeepakMotivation ,Instagram,4870000.0,11654300.235523611,116543.0,0.0,82056.5,271038800.0,271038800.0
NehaFoodie_official,Instagram,1434000.0,7408500.0,72268.0,1817.0,82056.5,20235800.0,20235800.0
TanyaDance.xo,Facebook,2490000.0,4455100.0,41141.0,3410.0,314851.0,-100.0,-100.0
SnehaDance.xo,YouTube,0.0,inf,109421.0,4208.0,334901.0,11785400.0,11785400.0
NehaFoodieDanceee,TikTok,0.0,inf,0.0,3719.0,82056.5,248540100.0,248540100.0
ArjunVlogs_official,Facebook,0.0,inf,24983.0,0.0,20871.0,134490000.0,134490000.0
TanyaDance ,YouTube,2035336.0,5470200.718652842,52946.0,1756.0,20648.0,24041500.0,24041500.0
FitAnkit ,Facebook,380000.0,1168600.74,11176.0,510.0,128521.0,155814900.0,155814900.0
TANYADANCE ,Instagram,4840000.0,4791900.08803719,42495.0,5424.0,299872.0,431227600.0,431227600.0
PoojaLifestyle,YouTube,0.0,inf,75486.0,6435.0,82056.5,-100.0,-100.0
AnanyaVlogsQueen,Facebook,1381088.0,5858100.948382724,53772.0,4809.0,82056.5,-100.0,-100.0
GamerVikramVlogs,Tiktok,4917781.0,3741400.109988631,33187.0,4227.0,82056.5,296930600.0,296930600.0
SnehaDanceVlogs,Linkedin,3600000.0,477500.0,0.0,4775.0,144798.0,145427400.0,145427400.0
